Product_URL,Product_name,Product_Price,Num_Reviews,Ratings,Product Description,Product_ASIN,Manufacturer
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Casual Backpack,999,"39,050",4.1 out of 5 stars," Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  ",Samsonite,Samsonite
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,"6,109",3.9 out of 5 stars," Outer Material: Polyester, Color: Black  ",B098L372Z7,SaiTech IT Private Limited
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),689,"9,761",3.9 out of 5 stars," Water Resistance: Water resistant , not Waterproof  ",B094GB8VS2,WORLD SPEED
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,137,4.0 out of 5 stars, Capacity: 32 liters; Dimensions: 32.5 cms x 18 cms x 50 cms (LxWxH)  ,LAPTOP BAGS,300.00 gram
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",689,1,3.9 out of 5 stars," Number of Wheels: 0, Number of compartments: 3  ",B07L4GYKH9,600 g
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",499,195,3.9 out of 5 stars, Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  ,AirCase,Unisex-adult
https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,593,492,4.1 out of 5 stars, Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  ,B07Q321QDM,Safari
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),539,85,4.1 out of 5 stars,Lightweight backpack made of durable double dot polyester fabric,B085SJCTBC,27 x 20 x 38 Centimeters
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,799,2,4.0 out of 5 stars,Mesh Padding on back & shoulder strap to provide comfort & better back support,B096V2KF87,"Protecta Inc, Protecta Inc. No. 3, First Floor, Plot No.6, Dan Udyog Sahkari Sangh Ltd, Piparia Silvassa 396230. Email: support@protecta.in"
https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,249,197,3.6 out of 5 stars," Sling Bag Dimensions – Length (Horizontal distance) - 22.5cm, Height – 22.5cm, Width – 9.5cm.; Material: Made of Nylon Polyester Material with zipper. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you don’t have to worry about anything.  ",B08Z1HHHTD,Bagneeds
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,509,2,4.0 out of 5 stars," Crossbody bag Structure: A total of 2 main Zipper Pocket with One Padded Compartment and 1 In Side Pocket for other accessories, 2 pocket front side with 2 handles and adjustable shoulder strap.  ",B0855MYHBZ,Women
https://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),299,10,4.0 out of 5 stars," IDEAL APPLICATION: Use this bag as a messenger bag, shoulder bag, suitable for your office, college, outdoor travels, university, meeting, and for everyday use.  ",WILD MODA,"ADISA, careadisa@gmail.com"
https://www.amazon.in/Backpack-Fashion-Computer-Business-Black-BlueZip/dp/B08R7J19R8,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,426,151,4.0 out of 5 stars," Disclaimer: The product in image may appear bigger or smaller than the real product. To analyze the size accurately, kindly read the dimension and check with any scale available to you before placing order.  ",B08Q4FHQLN,Fast Travel
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),989,423,4.4 out of 5 stars, Occasion Type: Business  ,B09VCQ9HRZ,DIVING DEEP
